"MATNO","SESSION","A","B","C","D","E","F","G","H","I","J","EMA481","MEE411","MEE421","MEE431","MEE441","MEE451","MEE461","MEE471","ELA401","CED300","UBT400","FEES","PROBATION","OTHERS"
"ENG1002541",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002564",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002521",2013,"EMA381","EEE317","MEE311","PRE311",,,,,,,1,1,0,1,1,1,1,0,1,1,,1,0,"0"
"ENG1002531",2013,"EEE317","PRE311","CVE311","MEE321",,,,,,,1,1,0,1,1,1,1,1,1,0,,0,0,"0"
"ENG1002542",2013,"EMA281","PRE311","EEE317","CVE311","MEE321","MEE361",,,,,0,1,0,1,1,1,0,1,1,1,,1,0,"0"
"ENG1106030",2013,"MEE361","CVE311","EMA381","EEE317","PRE311","MEE321",,,,,1,1,0,1,0,1,0,1,1,0,,1,0,"0"
"ENG0902546",2013,"EEE317","ELA301","EMA381","MEE321","PRE311",,,,,,1,0,1,0,1,1,1,1,1,0,,1,0,"0"
"ENG1002563",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902507",2013,"EEE317","MEE311","MEE321","ELA301","PRE311",,,,,,1,0,1,1,1,0,1,0,1,1,,1,0,"0"
"ENG1002515",2013,"CVE311","EEE317","MEE311","MEE321","PRE311","MEE351",,,,,1,1,1,0,0,0,1,0,1,0,,1,0,"0"
"ENG1002611",2013,"MEE321",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002574",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002546",2013,"PRE311","MEE351","MEE311",,,,,,,,1,1,1,0,1,1,1,1,1,1,,1,0,"0"
"ENG1002575",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002604",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002525",2013,"EMA381",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002544",2013,"PRE311","EEE317",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002552",2013,"MEE321",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002577",2013,"MEE321",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902539",2013,"MEE351","MEE321","MEE311","EEE317","EMA381","PRE311","EMA281",,,,1,0,0,0,0,1,1,0,1,1,,1,0,"0"
"ENG1002605",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002540",2013,"MEE311","MEE321","CVE311","EEE317","PRE311","EMA381","MEE211",,,,1,0,0,0,0,0,1,1,1,0,,1,0,"0"
"ENG1002573",2013,"CVE311","EEE317",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002556",2013,"MEE311",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002529",2013,"MEE351","MEE361","PRE311",,,,,,,,1,1,1,1,1,1,1,1,1,1,,0,0,"0"
"ENG1002582",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002554",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002520",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0801917",2013,"ECP281","ELA201","EMA281","CVE311","EEE317","MEE321","MEE351",,,,1,0,1,0,1,0,1,0,1,0,,1,0,"0"
"ENG1002583",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002593",2013,"EMA381",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002565",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002581",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002548",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002550",2013,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002587",2013,"MEE351",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002569",2013,"PRE311",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG1002561",2013,"MEE221","MEE311","MEE351","MEE361","PRE311",,,,,,1,0,0,1,0,1,0,1,1,1,,1,0,"0"
"ENG0902596",2013,"CVE311","MEE351","MEE361",,,,,,,,1,1,1,0,1,1,1,1,1,1,,1,0,"0"
